YEAR,EDGROUP,CUMULATIVE_ED
1980,0,0.3628846843591961
1980,1,0.44305661027755866
1980,2,0.42481998228250817
1980,3,0.3597396323780252
1980,4,0.3517112167941449
1980,5,0.32800841599463726
1981,0,0.3680923716029739
1981,1,0.43549505920983117
1981,2,0.42042162821131435
1981,3,0.36612681337840147
1981,4,0.347809485166809
1981,5,0.3157206812914071
1982,0,0.3855753798081845
1982,1,0.44147960067238423
1982,2,0.4260473286797289
1982,3,0.37609627482578245
1982,4,0.3578404869636979
1982,5,0.3334536377332121
1983,0,0.40115733667127196
1983,1,0.43110764961416914
1983,2,0.42754492248768583
1983,3,0.38346422093544047
1983,4,0.36389567039774423
1983,5,0.3408104907260577
1984,0,0.4054466221611933
1984,1,0.44195990566241344
1984,2,0.43410176312160303
1984,3,0.3877209368029608
1984,4,0.3628334891125599
1984,5,0.3292837571449276
1985,0,0.4063001590888289
1985,1,0.43546827151664574
1985,2,0.43864130195510087
1985,3,0.3899392663970176
1985,4,0.3705999241241104
1985,5,0.3471009857946429
1986,0,0.4076678265513634
1986,1,0.4313930783541287
1986,2,0.4382787478216188
1986,3,0.391365454482599
1986,4,0.36814129250953126
1986,5,0.34354173082820455
1987,0,0.41305026345227447
1987,1,0.4413649917456531
1987,2,0.4432211056575929
1987,3,0.39221475707524966
1987,4,0.3694165289595877
1987,5,0.3442760308540033
1988,0,0.41423855068169985
1988,1,0.45521164422815646
1988,2,0.4471078581358639
1988,3,0.3957980840643527
1988,4,0.3645246687599372
1988,5,0.347911930846554
1989,0,0.409100163896621
1989,1,0.44183799973252097
1989,2,0.4447957739088206
1989,3,0.3959209054020689
1989,4,0.3659976640111642
1989,5,0.3390681329731802
1990,0,0.411639711795475
1990,1,0.4676230321552119
1990,2,0.44787363344515885
1990,3,0.3969379758730182
1990,4,0.3683234340939647
1990,5,0.3462644033153105
1991,0,0.4169422277364394
1991,1,0.4549856908379521
1991,2,0.4453401775223055
1991,3,0.39631545740669016
1991,4,0.3672359378821494
1991,5,0.3394011694730422
1992,0,0.4217480064785565
1992,1,0.4387255455750737
1992,2,0.44755983281801226
1992,3,0.40150756908806107
1992,4,0.36913671100887135
1992,5,0.33339899446534293
1993,0,0.4247241723604005
1993,1,0.44078286663398225
1993,2,0.44752618395296057
1993,3,0.4056040262988983
1993,4,0.37154384875965496
1993,5,0.32512698291245323
1994,0,0.43520832038397694
1994,1,0.4462481934477617
1994,2,0.45194466774555164
1994,3,0.4123036213360118
1994,4,0.37785156081310867
1994,5,0.33749749022161507
1995,0,0.4345199466515176
1995,1,0.45029224952541425
1995,2,0.4591685307762423
1995,3,0.4152755547333094
1995,4,0.37891652849336965
1995,5,0.33722758222047744
1996,0,0.4684133364162613
1996,1,0.45633836744706324
1996,2,0.4687573884315743
1996,3,0.4286330901291346
1996,4,0.410747035740926
1996,5,0.3920387770198481
1997,0,0.4684741287052615
1997,1,0.4590093822163667
1997,2,0.47821261184027486
1997,3,0.4323523414871349
1997,4,0.41125822899647285
1997,5,0.41439893750072004
1998,0,0.47404767854370317
1998,1,0.47519061663669265
1998,2,0.4860220738767587
1998,3,0.4367564198028721
1998,4,0.4161218582351528
1998,5,0.42233165676708917
1999,0,0.47362362589834944
1999,1,0.46147848678432063
1999,2,0.4901806258338257
1999,3,0.43453659853192794
1999,4,0.41249877982486005
1999,5,0.41970094781959166
