YEAR,EDGROUP,FTOTVAL
1984,4,33217.736175188016
1984,5,42745.759964344834
1985,0,26199.661963735172
1985,1,14597.87505871301
1985,2,18622.985397196262
1985,3,27317.99206766522
1985,4,36163.5325870875
1985,5,47184.22816443833
1986,0,27865.45802968961
1986,1,14834.620298815043
1986,2,19130.40569586244
1986,3,28492.574828988723
1986,4,38059.87835365854
1986,5,49935.29691241336
1987,0,28982.65779509411
1987,1,14279.313507504168
1987,2,19699.912443511945
1987,3,29488.39043081697
1987,4,40319.71745665442
1987,5,52819.050809741624
1988,0,30694.209512868903
1988,1,16035.513215859031
1988,2,20330.14516265315
1988,3,31109.144861850917
1988,4,42412.71160111004
1988,5,54851.3966706302
1989,0,32235.583881286653
1989,1,16351.640071985603
1989,2,20658.41651688582
1989,3,32091.160430953343
1989,4,43682.64612619552
1989,5,57172.833935018054
1990,0,34298.337799247376
1990,1,18240.29498680739
1990,2,22460.197189284147
1990,3,33815.43003800482
1990,4,46723.3643688961
1990,5,61692.99397453388
1991,0,34844.868211135974
1991,1,18505.882699517944
1991,2,22388.749447513812
1991,3,34325.836179793034
1991,4,47664.04933314615
1991,5,62764.6222473179
1992,0,35315.095862983304
1992,1,18651.533903133903
1992,2,22049.46831839747
1992,3,33739.78464913026
1992,4,47920.81369003425
1992,5,67561.55410209014
1993,0,36457.80885046326
1993,1,19299.84934086629
1993,2,22546.35223160434
1993,3,34143.20778111049
1993,4,48851.98059746741
1993,5,70501.32136848009
1994,0,38178.42757507795
1994,1,19525.663988312637
1994,2,23420.079815455592
1994,3,34787.86911642508
1994,4,49628.595174076305
1994,5,73111.9467707594
1995,0,40254.49367123899
1995,1,21456.706883789786
1995,2,25414.586775892334
1995,3,36491.190749487236
1995,4,51417.87555678645
1995,5,74705.13097488522
1996,0,43804.74058123584
1996,1,22131.87976782753
1996,2,26824.639075517334
1996,3,38762.36686416029
1996,4,55396.256611165525
1996,5,86668.20782318333
1997,0,45289.248876043675
1997,1,22154.292027729636
1997,2,28580.31075697211
1997,3,40225.748636190634
1997,4,57773.31596834868
1997,5,92116.40298044086
1998,0,48690.589382867074
1998,1,24302.213483146068
1998,2,30260.21881774823
1998,3,42298.83033441024
1998,4,60939.08186806176
1998,5,99213.91013121758
1999,0,50857.70262015753
1999,1,25648.784798534798
1999,2,31789.392900120336
1999,3,43843.11078561348
1999,4,63517.457090535085
1999,5,103094.07445255475
