YEAR,0
1964,30521.688753289276
1965,33782.83971379969
1966,31660.94180844585
1967,32027.823008451513
1968,30356.49129645061
1969,31237.757803382847
1970,32372.622843312653
1971,32518.90068205425
1972,32465.66618922125
1973,34096.54805449502
1974,34009.506191719935
1975,32403.10858788806
1976,33198.907884477885
1977,34014.47359903997
1978,34328.74461687618
1979,34626.634830830706
1980,33989.11678114599
1981,31850.84286792999
1982,32696.334725516946
1983,33608.780156638844
1984,34102.103352695674
1985,36931.119144338816
1986,37387.02835257107
1987,38638.39542813834
1988,39453.75779367975
1989,38947.52967476247
1990,40174.568310537434
1991,38365.74218216195
1992,37795.34580550481
1993,37738.85991039705
1994,38620.69896102127
1995,39423.66964378796
1996,51476.74701363814
1997,53181.97147547524
1998,55905.28409138726
1999,56673.32740987635
