YEAR,EDGROUP,FTOTVAL
1983,5,25866.57548309965
1984,0,18604.553312774366
1984,1,12357.015390432736
1984,2,14790.222236826487
1984,3,18510.94167810187
1984,4,22833.69706193742
1984,5,26025.72389994399
1985,0,20668.92794634096
1985,1,12939.644483718295
1985,2,16553.642158325285
1985,3,20549.581752041115
1985,4,26080.3542825494
1985,5,31840.876601053067
1986,0,22030.19925211388
1986,1,13282.283760188418
1986,2,16998.892462217387
1986,3,21519.416534123062
1986,4,26985.9267364257
1986,5,32506.639522723726
1987,0,22881.709104440506
1987,1,12977.395848705746
1987,2,17822.34544343128
1987,3,22200.24738791087
1987,4,28720.84546467526
1987,5,34392.99649613201
1988,0,24486.821975509883
1988,1,16070.694761993293
1988,2,18401.131699254292
1988,3,23766.146301088826
1988,4,29719.660625720433
1988,5,36419.3249730422
1989,0,25174.106297484454
1989,1,14717.567749985603
1989,2,18595.75098729195
1989,3,24456.676114106252
1989,4,30587.273218467457
1989,5,36580.249997060164
1990,0,26929.42561096023
1990,1,18314.664957452813
1990,2,20648.254314858703
1990,3,25975.614857894685
1990,4,33211.09892279947
1990,5,40473.62658687047
1991,0,27625.192124799505
1991,1,17383.350193482725
1991,2,20332.05965383105
1991,3,26045.644801149836
1991,4,33160.50535480983
1991,5,39775.749007838414
1992,0,28308.043569414884
1992,1,17072.30903628799
1992,2,20566.651896031577
1992,3,26149.96638985876
1992,4,33683.56529347517
1992,5,42085.307861279594
1993,0,29181.036713715177
1993,1,17562.567303289223
1993,2,21407.11840954312
1993,3,26586.512918002332
1993,4,34559.29197831661
1993,5,42667.73044534729
1994,0,31684.65499341888
1994,1,17534.86500321212
1994,2,22032.395526348395
1994,3,27688.223085359507
1994,4,35823.969736916144
1994,5,46104.33321892906
1995,0,33357.916511969066
1995,1,19465.15721377514
1995,2,24128.7127974763
1995,3,29567.486714159895
1995,4,37031.94366447937
1995,5,47224.83782774958
1996,0,47925.27674795331
1996,1,26103.48488287236
1996,2,29395.15878056315
1996,3,36733.2000026692
1996,4,49930.69338285338
1996,5,73121.50256991624
1997,0,49677.099344406815
1997,1,23968.21783862062
1997,2,34120.261904635576
1997,3,38984.28347686962
1997,4,52704.91350214414
1997,5,81626.74599180496
1998,0,53402.44625653769
1998,1,27123.48200109189
1998,2,36856.66969432721
1998,3,41427.27841035102
1998,4,56079.62717507736
1998,5,89865.58159314223
1999,0,55142.73997448237
1999,1,29660.52361683719
1999,2,39511.66623247288
1999,3,42191.519751255015
1999,4,57134.67352466514
1999,5,92194.62614678669
