YEAR,EDGROUP,0
1984,0,31125.417692271534
1984,1,20673.28674819397
1984,2,24744.041802210715
1984,3,30968.805427464642
1984,4,38200.775184621336
1984,5,43541.036084606254
1985,0,33132.29149798466
1985,1,20742.25010740042
1985,2,26535.488379795403
1985,3,32940.979548522206
1985,4,41806.807914926525
1985,5,51040.9251914882
1986,0,34102.748442272205
1986,1,20560.975260771673
1986,2,26314.28553151257
1986,3,33312.056794822296
1986,4,41774.21458798707
1986,5,50320.27798117638
1987,0,34780.1978387497
1987,1,19725.64169003275
1987,2,27089.965074015563
1987,3,33744.37602962453
1987,4,43655.68510630639
1987,5,52277.35467412073
1988,0,35922.16783807298
1988,1,23575.70921584414
1988,2,26994.46020280607
1988,3,34864.936623697504
1988,4,43598.7421379316
1988,5,53427.149735452906
1989,0,35445.141666857984
1989,1,20722.335391979712
1989,2,26182.817390107008
1989,3,34434.99996866169
1989,4,43066.88069160215
1989,5,51504.99199586051
1990,0,36193.14802113047
1990,1,24614.9097028166
1990,2,27751.2537991701
1990,3,34911.22636901034
1990,4,44635.71695224273
1990,5,54396.55413275372
1991,0,35222.11995911929
1991,1,22163.77149669048
1991,2,25923.376058634585
1991,3,33208.197121465906
1991,4,42279.64432738259
1991,5,50714.07998499406
1992,0,34620.73728539432
1992,1,20879.433951380204
1992,2,25153.015268846633
1992,3,31981.408894797314
1992,4,41195.00035392018
1992,5,51470.33151434492
1993,0,34637.89057918004
1993,1,20846.767389004322
1993,2,25410.249552127774
1993,3,31558.190833668516
1993,4,41021.87957826187
1993,5,50646.59603862714
1994,0,36532.4072074121
1994,1,20217.69934870357
1994,2,25403.352041879705
1994,3,31924.521217419286
1994,4,41305.0371066642
1994,5,53158.296201425226
1995,0,37494.29815945323
1995,1,21878.83670828327
1995,2,27120.67318436342
1995,3,33233.85506671584
1995,4,41623.90467887466
1995,5,53080.71771839049
1996,0,52382.32748551292
1996,1,28531.10897697951
1996,2,32128.908547155504
1996,3,40149.387602917544
1996,4,54574.247867458886
1996,5,79921.8023089186
1997,0,52757.07950375994
1997,1,25454.247344615113
1997,2,36235.718142722966
1997,3,41401.309052435536
1997,4,55972.61813927689
1997,5,86687.6042432969
1998,0,55431.73921428599
1998,1,28154.17431713339
1998,2,38257.22314271159
1998,3,43001.51498994435
1998,4,58210.65300773019
1998,5,93280.4736936817
1999,0,56355.880253920885
1999,1,30313.05513640759
1999,2,40380.92288958722
1999,3,43119.73318578265
1999,4,58391.6363422078
1999,5,94222.90792201586
