YEAR,FTOTVAL
1964,6224.0
1965,6500.0
1966,6950.0
1967,7500.0
1968,7840.0
1969,8503.0
1970,9324.0
1971,9773.0
1972,10053.0
1973,10981.0
1974,11906.0
1975,12580.0
1976,13140.0
1977,14239.0
1978,15278.0
1979,16654.0
1980,18300.0
1981,19524.0
1982,20853.0
1983,21470.0
1984,22386.0
1985,24301.0
1986,25505.0
1987,26714.5
1988,28150.0
1989,29180.0
1990,31000.0
1991,31500.0
1992,31737.0
1993,32468.0
1994,32936.0
1995,34883.0
1996,35434.5
1997,36712.0
1998,38905.0
1999,40340.0
