YEAR,0
1964,38608.3769911446
1965,39702.21723723371
1966,41180.78394150198
1967,43667.10936790146
1968,43380.158711724085
1969,45496.46483612925
1970,47181.05087083892
1971,46845.163564493996
1972,46659.55234538089
1973,49196.644412889094
1974,49864.350114231616
1975,47803.561220560405
1976,46275.52201880296
1977,47235.5855760297
1978,47806.71226803077
1979,48478.251536065676
1980,47751.55617181301
1981,44868.98781663891
1982,44205.57510388868
1983,43732.85172855781
1984,44274.33461539893
1985,46366.091577725856
1986,47172.341439848795
1987,48521.337459541515
1988,49439.526791832286
1989,49275.718516908906
1990,50190.82628933635
1991,48491.33907743711
1992,47157.7663663252
1993,47002.86330862066
1994,47097.97545858371
1995,48150.231363761515
1996,50566.90009029247
1997,51279.16810598086
1998,53353.20799693049
1999,54912.541928871564
